# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4335.0577 6.8490e+14 5.7137e+14
4335.0709 6.8490e+14 5.7133e+14
4335.0841 6.8490e+14 5.7128e+14
4335.0973 6.8489e+14 5.7123e+14
4335.1106 6.8489e+14 5.7118e+14
4335.1238 6.8489e+14 5.7113e+14
4335.1370 6.8489e+14 5.7108e+14
4335.1502 6.8489e+14 5.7103e+14
4335.1635 6.8489e+14 5.7098e+14
4335.1767 6.8489e+14 5.7094e+14
4335.1899 6.8489e+14 5.7089e+14
4335.2031 6.8489e+14 5.7084e+14
4335.2164 6.8489e+14 5.7079e+14
4335.2296 6.8489e+14 5.7074e+14
4335.2428 6.8489e+14 5.7070e+14
4335.2561 6.8489e+14 5.7065e+14
4335.2693 6.8489e+14 5.7060e+14
4335.2825 6.8489e+14 5.7055e+14
4335.2957 6.8489e+14 5.7050e+14
4335.3090 6.8489e+14 5.7046e+14
4335.3222 6.8489e+14 5.7041e+14
4335.3354 6.8489e+14 5.7036e+14
4335.3486 6.8489e+14 5.7031e+14
4335.3619 6.8489e+14 5.7027e+14
4335.3751 6.8489e+14 5.7022e+14
4335.3883 6.8488e+14 5.7017e+14
4335.4015 6.8488e+14 5.7013e+14
4335.4148 6.8488e+14 5.7008e+14
4335.4280 6.8488e+14 5.7003e+14
4335.4412 6.8488e+14 5.6998e+14
4335.4544 6.8488e+14 5.6994e+14
4335.4677 6.8488e+14 5.6989e+14
4335.4809 6.8488e+14 5.6985e+14
4335.4941 6.8488e+14 5.6980e+14
4335.5073 6.8488e+14 5.6975e+14
4335.5206 6.8488e+14 5.6971e+14
